Code,Cluster
"plate Kings B Isolates - 1 well B6",33
"plate Kings B Isolates - 1 well C1",33
"plate Kings B Isolates - 1 well C3",33
"plate Kings B Isolates - 1 well C5",128
"plate Kings B Isolates - 1 well C7",128
"plate Kings B Isolates - 1 well C10",108
"plate Kings B Isolates - 1 well C11",109
"plate Kings B Isolates - 1 well D2",30
"plate Kings B Isolates - 1 well D10",128
"plate Kings B Isolates - 1 well D12",12
"plate Kings B Isolates - 1 well E7",30
"plate ME 1/1 TSB Isolates - 1 well A8",1
"plate ME 1/1 TSB Isolates - 1 well A10",14
"plate ME 1/1 TSB Isolates - 1 well A12",104
"plate ME 1/1 TSB Isolates - 1 well B1",80
"plate ME 1/1 TSB Isolates - 1 well B5",130
"plate ME 1/1 TSB Isolates - 1 well B6",63
"plate ME 1/1 TSB Isolates - 1 well B7",14
"plate ME 1/1 TSB Isolates - 1 well B11",130
"plate ME 1/1 TSB Isolates - 1 well C3",72
"plate ME 1/1 TSB Isolates - 1 well C6",141
"plate ME 1/1 TSB Isolates - 1 well C10",5
"plate ME 1/1 TSB Isolates - 1 well C11",73
"plate ME 1/1 TSB Isolates - 1 well C12",89
"plate ME 1/1 TSB Isolates - 1 well D1",44
"plate ME 1/1 TSB Isolates - 1 well D3",6
"plate ME 1/1 TSB Isolates - 1 well D5",5
"plate ME 1/1 TSB Isolates - 1 well D7",77
"plate ME 1/1 TSB Isolates - 1 well D9",70
"plate ME 1/1 TSB Isolates - 1 well D10",5
"plate ME 1/1 TSB Isolates - 1 well D11",89
"plate ME 1/1 TSB Isolates - 1 well E2",45
"plate ME 1/1 TSB Isolates - 1 well E4",45
"plate ME 1/1 TSB Isolates - 1 well E6",150
"plate ME 1/1 TSB Isolates - 1 well E8",146
"plate ME 1/1 TSB Isolates - 1 well E12",130
"plate ME 1/1 TSB Isolates - 1 well F1",130
"plate ME 1/1 TSB Isolates - 1 well F3",1
"plate ME 1/1 TSB Isolates - 1 well F5",1
"plate ME 1/1 TSB Isolates - 1 well F6",149
"plate ME 1/1 TSB Isolates - 1 well G1",100
"plate ME 1/1 TSB Isolates - 1 well G3",145
"plate ME 1/1 TSB Isolates - 1 well G3 2",145
"plate ME 1/1 TSB Isolates - 1 well G5",134
"plate ME 1/1 TSB Isolates - 1 well G6",43
"plate ME 1/1 TSB Isolates - 1 well G7",149
"plate ME 1/1 TSB Isolates - 1 well G9",145
"plate ME 1/1 TSB Isolates - 1 well G11",85
"plate ME 1/1 TSB Isolates - 1 well G12",90
"plate ME 1/1 TSB Isolates - 1 well H1",105
