Isolate,Cluster
Thermomonas brevis 3,89
Saccharothrix yanglingensis 17,89
Pseudomonas alcaligenes 4,89
Enterobacter cloacae,89
Enterobacter cloacae,89
Thermomonas brevis 5,89
Thermomonas brevis 5,90
Pseudomonas koreensis 12,90
Cupriavidus gilardii,91
Cupriavidus gilardii,92
Saccharothrix yanglingensis 15,93
Pseudomonas koreensis 12,93
Cupriavidus gilardii,93
Cupriavidus gilardii,93
Pseudoxanthomonas japonensis,94
Pseudoxanthomonas japonensis,95
Pseudoxanthomonas japonensis,96
Pseudoxanthomonas japonensis,96
Rhodanobacter lindaniclasticus 2,97
Saccharothrix yanglingensis 15,97
Pseudomonas koreensis 5,97
Pseudomonas koreensis 5,98
Pseudomonas koreensis 12,99
Pseudomonas koreensis 12,100
Pseudomonas koreensis 12,101
Pseudomonas koreensis 12,102
Pseudomonas koreensis 12,102
Pseudomonas koreensis 12,102
Pseudomonas koreensis 12,102
Pseudomonas koreensis 12,103
Pseudomonas koreensis 12,103
Pseudomonas koreensis 12,104
Pseudomonas koreensis 12,105
Cupriavidus gilardii,106
Cupriavidus gilardii,106
Pseudoxanthomonas japonensis,107
Pseudoxanthomonas japonensis,108
Rhodanobacter lindaniclasticus 2,109
Saccharothrix yanglingensis 15,109
Rhodanobacter denitrificans,109
[Pseudomonas] hibiscicola,110
[Pseudomonas] hibiscicola,111
Castellaniella hirudinis,112
Castellaniella hirudinis,112
Saccharothrix yanglingensis 13,112
Pseudomonas reinekei,112
Pseudomonas alcaligenes 7,113
Pseudomonas alcaligenes 7,114
Pseudomonas alcaligenes 7,115
Rhodanobacter lindaniclasticus 5,116
Pseudomonas alcaligenes 7,116
Acidovorax delafieldii 3,116
Pseudomonas helmanticensis 2,117
Lentzea flaviverrucosa,117
Lentzea flaviverrucosa,118
Williamsia muralis,118
Simplicispira limi 3,118
Simplicispira limi 3,118
Simplicispira limi 3,118
Pseudomonas helmanticensis,118
Pedobacter terrae 5,118
Williamsia muralis,118
Paenarthrobacter nitroguajacolicus,118
Simplicispira limi 3,118
Simplicispira limi 3,118
Lentzea flaviverrucosa,118
Pedobacter terrae 5,118
Simplicispira limi 3,118
Pedobacter terrae 5,118
Williamsia muralis,118
Williamsia muralis,118
Lentzea flaviverrucosa,118
Pedobacter terrae 5,118
Lentzea flaviverrucosa 2,118
Pseudomonas koreensis 15,118
Pseudomonas koreensis 16,118
Pseudomonas koreensis 16,119
Pseudomonas koreensis 16,119
Pseudomonas koreensis 16,119
Pseudomonas koreensis 10,120
Streptomyces bellus 8,120
Pseudomonas koreensis 10,120
Saccharothrix longispora 2,121
Saccharothrix longispora 2,121
Saccharothrix longispora 2,122
Ralstonia pickettii,122
Streptomyces bellus,122
Pseudomonas knackmussii,122
Lentzea flaviverrucosa 4,122
Pseudomonas koreensis 6,123
Pseudomonas koreensis 6,124
Pseudarthrobacter siccitolerans,124
Pseudomonas koreensis 19,124
Pseudoxanthomonas jiangsuensis,124
Pseudomonas koreensis 19,125
Mucilaginibacter carri,126
Mucilaginibacter carri,127
Pseudomonas koreensis 19,127
Pseudomonas koreensis 19,127
Pseudomonas koreensis 19,127
Pseudomonas koreensis 19,128
Pseudomonas koreensis 19,128
Pseudarthrobacter siccitolerans,128
Pseudarthrobacter siccitolerans,128
Pseudoxanthomonas jiangsuensis,129
Pseudoxanthomonas jiangsuensis,129
Mucilaginibacter carri,130
Mucilaginibacter carri,131
Mucilaginibacter carri,131
Pseudoxanthomonas jiangsuensis,131
Pseudomonas koreensis 19,131
Pseudoxanthomonas jiangsuensis,131
Saccharothrix yanglingensis 19,132
Mucilaginibacter carri,132
Pseudomonas koreensis 18,132
Castellaniella ginsengisoli,133
Castellaniella ginsengisoli,133
Rhodanobacter lindaniclasticus 4,133
Pseudomonas koreensis 2,133
Saccharothrix yanglingensis 7,134
Burkholderia dabaoshanensis,134
Pseudomonas koreensis 2,134
Pseudomonas koreensis 2,134
Saccharothrix yanglingensis 7,134
Saccharothrix yanglingensis 7,134
Saccharothrix yanglingensis 7,135
Saccharothrix yanglingensis 7,136
Burkholderia dabaoshanensis,137
Saccharothrix yanglingensis 11,138
Saccharothrix yanglingensis 11,139
Enterobacter cloacae,140
Enterobacter cloacae,140
Saccharothrix yanglingensis 11,141
Saccharothrix yanglingensis 11,142
Saccharothrix yanglingensis 11,143
Saccharothrix yanglingensis 11,143
Saccharothrix yanglingensis 11,143
Saccharothrix yanglingensis 11,143
Saccharothrix yanglingensis 11,144
Saccharothrix yanglingensis 11,144
Saccharothrix yanglingensis 11,145
Saccharothrix yanglingensis 11,145
Saccharothrix yanglingensis 11,146
Saccharothrix yanglingensis 11,146
Saccharothrix yanglingensis 11,146
Saccharothrix yanglingensis 11,146
Saccharothrix yanglingensis 11,146
Saccharothrix yanglingensis 11,147
Saccharothrix yanglingensis 11,147
Saccharothrix yanglingensis 11,148
Saccharothrix yanglingensis 11,149
Saccharothrix yanglingensis 11,150
