sto_des_state_pdist_1,sto_des_state_pdist_2,sto_des_state_pdist_3,sto_des_state_pdist_4,sto_des_state_pdist_5,des_pbiomass_1,des_pbiomass_2,des_pbiomass_3,des_pbiomass_4,des_pbiomass_5,corr
0.0131319633204259,0.00319218964615985,0.00714860435033609,0.0047050603039895,0.00103639052386562,0.350146289385278,0.296374501023963,0.067651894094118,0.174733832471586,0.111093483025055,0.502201673880126
0.36119962445321,0.229241637337104,0.113783062428356,0.0668884039527826,0.198732977047906,0.292934669701321,0.155842174307192,0.396571655385622,0.0378822528236663,0.116769247782199,0.281956911047825
0.00927806651287133,0.015673377623909,0.158535644328905,0.0229888810631241,0.0583815046957613,0.0911608366302368,0.319675486678475,0.428632006332501,0.0310660752980057,0.129465595060781,0.701718440740352
0.00018056602666585,0.0325261453431211,2.98485055473338e-05,0.0268365091582696,0.000302718789667929,0.000886022552620704,0.726965246771663,0.0918672491426721,0.157339442915368,0.0229420386176768,0.811113663505903
0.0505396670371586,0.00226458863902082,0.00141056780821233,0.145479104548058,0.0911055540695655,0.220414370468402,0.10923014703273,0.0118644717992907,0.412041614004916,0.24644939669466,0.960152767454459
0.00375837907676041,0.0187576326627818,0.0686981597344016,0.0512490793220145,0.019002691822119,0.0191760900742537,0.297632691761857,0.148725929962644,0.049583600179118,0.484881688022127,-0.226347593115603
0.00381964689097961,0.0154113807304611,0.0162709053051851,0.0150498642444579,0.0120443335945065,0.176134133859081,0.216923184861017,0.306997802825174,0.273186956271552,0.0267579221831761,0.414135046172429
0.00561700399965097,0.159499405822197,0.0198936794870054,0.0990557312376101,0.0766877116631043,0.0093099588018905,0.381549589744062,0.176727469601077,0.2743253521478,0.158087629705171,0.912062391407455
0.00416847217169503,0.0561267107136266,0.0691272142564026,0.114189797481813,0.157743929600179,0.0237255432883159,0.142301927800063,0.144212099502968,0.281429023370404,0.408331406038249,0.993091333631985
0.0213971004063821,0.0199161402334747,0.00995146321805549,0.0230963539854572,0.0314284499210148,0.526437926978677,0.00759484150800253,0.142973141641938,0.146694154741904,0.176299935129479,0.102239124537116
0.0278305254057377,0.00032824378513721,0.0181178731169881,0.0330483007690487,0.0163528899046155,0.251316958809133,6.52942945515447e-05,0.197810599789506,0.233309979807922,0.317497167298888,0.720816907783659
0.0157031730983256,0.000893086814251171,0.0110294717514281,0.0169911207658898,0.010758795232679,0.306460335916286,0.29400073131829,0.325775491998882,0.0585735476915335,0.0151898930750092,-0.328510847664287
0.000509254234405274,0.0136152680576348,0.00494203737535381,0.00992166460976662,0.07888774395064,0.0798580138441009,0.0226530152846461,0.420898905687733,0.390404045650016,0.0861860195335033,-0.344509138966084
0.0779507442842442,0.158074271418948,0.0230438897339675,0.0784753588461976,0.144413127220301,0.0711851381768224,2.3336063093265e-05,0.128077681048327,0.0921778776790625,0.708535967032695,0.341144763701155
0.000487202367412304,0.00349366641703953,0.0152898153111828,0.0177799929952751,0.000620533005123085,0.115749542294274,0.174663463833891,0.0984075376627669,0.603683029196057,0.007496427013011,0.689207347525847
0.154114036286318,0.0222393051695106,0.00339481310836043,0.148610306453179,0.0382213039806897,0.0908315244289864,0.656560278929366,0.0531875799278208,0.166400614082991,0.033020002630836,-0.246283790804403
0.443444425098595,0.0689101917920896,0.366284595398616,0.0527050054527276,0.359115870578327,0.346718196651659,0.00509641486045233,0.351955980423753,0.135331333581356,0.16089807448278,0.825098914577943
0.000475442197741163,0.00704502086855129,0.0366926929229142,0.0190698252406524,0.0280297941578897,0.00406681006050487,0.202720253331237,0.348436637386206,0.207311937825359,0.237464361396694,0.890245581833245
0.0442408680324576,0.00856365831885712,0.0311283035953913,0.0053340503236545,0.00168018636109349,0.339511191501145,0.135483930891061,0.243410059405576,0.274113854452781,0.00748096374943763,0.727573434662775
0.0649191479859072,0.000726977558661203,0.0835290002502293,0.0145611378314838,0.0208999120885358,0.241389525739151,0.0361969484113033,0.58040904189376,0.0016125392960179,0.140391944659768,0.916770415529045
0.236761612147454,0.0154970008248305,0.0126855489431983,0.139974861190752,0.168166198212893,0.266026970577823,0.00465345448067237,0.107912805980371,0.253472896991677,0.367933871969457,0.837504161422393
0.0141484024635776,0.0576455625733666,0.313105742768999,0.0609365260738939,0.152900611808199,0.0172160599197932,0.239812619378171,0.520127649772966,0.0732902010000249,0.149553469929046,0.896335594185346
0.167500440713408,0.161696001955944,0.112510791981309,0.104810766750454,0.0210752829337461,0.137716631333446,0.195775608385593,0.512836068425811,0.140757001044715,0.012914690810435,0.315941808768863
0.0384332773722005,0.023313426555278,0.0101538933638596,0.0359461520739854,0.00138546304283739,4.47050188418868e-05,0.393740614394206,0.135211451825845,0.367239307682221,0.103763921078885,0.185281384758476
0.0348957176370759,0.0202611657210987,0.0211175545854686,0.0405537318041427,0.0497392930829641,0.0554917869051188,0.400270949949455,0.259225694113172,0.282283558687246,0.00272801034500857,-0.737243162001945
